فارسی,english
سفوروکسيم 750 ميلي ويال,CEFUROXIME SODIUM 750 MG VIAL
هيدروکسي پروژسترون ايراني 500,HYDROXYPROGESTRONE CAPROA
پاپا ورين 4%آمپول,PAPAVERINE HCL 40MG/ML   -INJECTION
اي وي اف (منوتروپين 75 واحدي هاش ام جي,H.M.G  IVF (MENOTROPINS
ميدازولام  5م ايراني آمپول,MIDAZOLAM HCL 5 MG/ML 1 ML AMP
ب 12 هزارخارجي ارزان آمپول,VITAMIN B12 (CYANOCOBALAMIN) 1000MCG/ML AMP
کلکسان (انوکسوپرين 6000 واحدي آمپول,CLEXANE (ENOXAPARIN 6000 IU SYR
ديفرلين (تريپتورلين 3.75 م ويال,DIPHERELINE (TRIPTORELIN 3.75MG VIA
انسولين بيفازيک ايزوفان 30-70 ايراني ويال,INSULIN BIPHASIC ISOPHANE 70+30 U VIAL
اکسي توسين 10 واحد ايراني آمپول,OXYTOCIN 10 U/ML AMP IRANI
ايوتروپين (سوماتروپين 4 واحدي,EUTROPIN (SOMATROPIN 4U AMP
کاسموژن (داکتينومايسين 0.5م ويال,COSMEGEN® (DACTINOMYCIN 0.5MG VIAL
ديکلوفناک 75م آمپول,DICLOFENAC SODIUM 75MG/3ML AMP
ليدوکائين 2% ويال,LIDOCAINE HCL 2% 50ML VIAL
هيالگان(هيالورونيک هگزال 1% آمپول,HYALURONATE SODIUM AMP HEXAL
کاربوپلاتين 150م ويال,CARBOPLATIN 150 MG VIAL
دانترولن 20م گرم 70ميلي ويال,DANTROLENE SODIUM 20MG/70ML VIAL
مسنا400م آمپول,MESNA 400 MG/4 ML AMP
انوکساپارين آمپول 8000 واحدي,ENOXAPARINE 8000 IU SYR
انوکسوپرين 2000واحدي آمپول,ENOXAPARIN 2000 IU SYR
آيوپک 350م 20م (آيوهگزال ويال,IOPAQUE  350 MG/M  20 ML VIAL
آيوپک300م 10م (آهگزول ويال,IOPAQUE  300 MG/M  10 ML VIAL
آيوپک 240م گ 10م ل (آيوهگزال ويال,IOPAQUE  240 MG/M  10 ML VIAL
آيوپک 300م گ 20م ل (آيوهگزال ويال,IOPAQUE  300 MG/M 20 ML VIAL
منوپيور (منوتروپين 75م آمپول اچ ام جي,MENOPURE (MENOTROPINS 75 IU AMP
کلسي تونين ايراني (ميانين 50م آمپول,MIANIN (CALCITONIN 50 IU/ML AMP
اپرکس (اريتروپويتين 4000 واحدي ويال,EPREX (ERYTHROPOIETIN 4000 IU VIAL
تورکان (تي اتيل پرازين آمپول خارجي,TORACAN (THIETHYLPRAZINE AMP
تستوسترون 250م خارجي آمپول,TESTOSTRONE 250MG/ML AMP
اپي نفرين 10سي سي آمپول,EPINEPHRINE 0.01% 10 ML AMP
فرووين 20م آمپول (هيدروکسيدسوکرز,FERROVIN  20MGFE/ML AMP
اريتروپويتين 4000 واحدي ويال0سيناپويتين0,ERYTHROPOIETIN 4000 IU VIAL
سولويت ان 10ميل ويال,SOLUVIT N 10 MG VIAL
کايتريل (گراني سترون 3م آمپول,KYTRIL® (GRANISETRON HCL 3 MG VIAL
اريتروپويتين 2000 واحدي ويال پي دي پوئيتين اپرکس,ERYTHROPOIETIN 2000 IU VIAL
انسولين ايزوفان (NPHخارجي آمپول,INSULIN ISOPHAN (NPH) HUMAN
اليمتا100م (پمترکس ويال,ALIMTA (PEMETREXED 100MG VIAL
اليمتا500م (پمترکس  ويال,ALIMTA (PEMETREXED 500MG VIAL
فرماترون آمپول (هيالورونيک اسيد,FERMATHRON (SODIUM HYALURONATE INJ
اندانسترون 4 آمپول,ONDANSETRON HCL 2MG/ML 4ML INJEC
ميکرورلين (تريپتورلين 3/75م  ويال,MICRORELIN®(TRIPTORELIN AS 3.75MG VIAL
سفترياکسون 1گرم خارجي باست وسرم,CEFTRIAXONE 1 GR VIAL WITH SERUM
اريتروپويتين 10000 واحدي ويال اپرکس,ERYTHROPOIETIN 10000 IU VIAL
فمولايف (هيدروکسي پروژسترون 250م ايراني,HYDROXYPROGESTRONE CAPROATE 250 MG/ML AMP
اپرکس (اريتروپويتين 4000 واحدي اتريشي ويال,EPREX (ERYTHROPOIETIN 4000 IU VIAL AUS
پنموواکس آمپول,PNEUMOCOCCAL VACC. POLYVALENT 0.5ML AMP
ميدازولام15م ايراني آمپول,MIDAZOLAM HCL 5 MG/ML 3 ML AMP
ثام تروپين 4واحدي (هورمون رشد آمپول,SAM TROPIN (SOMATROPIN INJEC
نورديلت (سوماتروپين 10م پن,NORDILET® (SOMATROPIN 10 MG PEN
بوسرلين استات 5.5م ويال,BUSERELIN 5.5 MGL VIAL
ديسپورت (نورونوکس 100واحدي,NEURONOX (BOTULINIUM A ANTITOXIN 100 IU
ايمونوگلوبولين 5 گرم ويال,IMMUNE GLOBULIN 5 G (IV ) VIAL
گراني سترون 1م آمپول ايراني,GRANISETRON AS HCL 1 MG AMP
آکلاستا100م ويال (زولدرونيک اسيد,AKLASTA (ZOLEDRONIC ACID 4 MG VIAL
ديسپورت 300واحدي ويال (بوتکس,DYSPORT (BOTULISM A TOXIN 300IU VIA
اويترول 250م ک (کوريوگونادوتروپين آلفا آمپول,OVITRELLE (CHORIOGONADOTROPIN ALFA INJEC
ويتاسولين (انسولين رگولار,VITASULIN (INSULIN NPH REGOLAR  100
هيال پلاس (هيالورونيک ويال,HYAL PLUS (HYALURONATE SODIUM AMPUL
رمي کيد (اينفليکسي مب 100م,REMICADE (INFLIXIMAB 100 MG VIAL
متوتروکسات 50م مايلن ويال,METHOTREXATE 50 MG/ML AMP MYLAN
فرين جکت 500م گ ويال (فري کربوکسي مالتوس,FERINJECT® (FERRIC CARBOXYMALTOSE
گراتريل 3م آمپول (گرانيسترون,GRATRIL (GRANISETRON 3 MG AMP
متيلر آمپول (متيل ارگوبازين,METILER (METILERGOBAZIN MALEAT 0.2 MG AMP
پي دي گراستيم (جي سي اس اف ايراني آمپول,"PDGRASTIM (FILGRASTIM,RECOMBINANT G-CSF AMP"
دپاکين (والپروات سديم 400 م ويال,DEPAKINE (VALPROATE SODIUM INJ
پپتيکر (پنتوپرازول 40 م ويال,PEPTICARE (PANTOPRAZOLE 40 MG VIAL
جنوتروپين (سوماتريپن 5.3م ويال,GENOTROPIN® 5.3 MG INJECTION
وريکونازول 200م ويال,VORICONAZOL 200 MG VIAL
وي فند (وريکونازول 200م ويال,VFEND (VORICONAZOL 200 MG VIAL
وينورلبين 10م ويال,VINORELBINE 10 MG VIAL
ناولبين (وينورلبين 10م ويال,NAVELBINE (VINORELBINE 10 MG VIAL
وينورلبين 50م ويال,VINORELBINE 50 MG VIAL
ناولبين (وينورلبين 50م ويال,NAVELBINE (VINORELBINE 50 MG VIAL
تاکروليموس 5م آمپول,TACROLIMUS 5 MG FOR  INFU
پروگراف (تاکروليموس 5م آمپول,PROGRAF® (TACROLIMUS 5 MG FOR  INFU
استرپتوکيناز 1500000 واحدي ويال,STREPTOKINASE 1500000 IU VIAL
استرپتاز (استرپتوکيناز 1500000 واحدي ويال,STREPTASE (STREPTOKINASE 1500000 IU VIAL
کارما کيناز (استرپتوکيناز 1500000 واحدي ويال,KARMA KINAS (STREPTOKINASE 1500000 IU VIAL
سوماتروپين 10م پن,SOMATROPIN 10 MG PEN
سوماتروپين 5م 15واحدي,SOMATROPIN 5 MG 15 IU INJ
سوماتروپين 5م پن,SOMATROPIN 5 MG PEN
راسبوريکاس 1.5م ويال,RASBURICASE 1.5 MG VIAL
فاستورتک (راسبوريکاس 1.5م ويال,FASTURTEC® (RASBURICASE 1.5 MG VIAL
پوراکتانت 240م آمپول,PORACTANT  ALFA  240 MG AMP
کوروسورف (پوراکتانت 240م آمپول,CUROSURF (PORACTANT ALFA  240 MG AMP
پمترکسد 500م ويال,PEMETREXED 500 MG VIAL
اليمتا (پمترکسد 500م ويال,ALIMTA® (PEMETREXED 500 MG VIAL
پمترکسد 100م ويال,PEMETREXED 100 MG VIAL
اليمتا (پمترکسد 100م ويال,ALIMTA® (PEMETREXED 100 MG VIAL
پگينترفرون 180 ميکروگرم آمپول,PEGINTERFERON  ALFA-2A 180 MCG INJ
پاميدا (پاميدرونات 90م آمپول,PAMIDIA® (PAMIDRONATE DISODIUM 90 M
پاميدات (پاميدرونات 90م ايراني آمپول,PAMIDATE® (PAMIDRONATE DISODIUM 90 MG AMP
پاکلي تاکسل 300م ويال,PACLITAXEL 300 MG VIAL
ابه تاکسل (پاکلي تاکسل 300م ويال,EBETAXEL® (PACLITAXEL 300 MG VIAL
آري تاکسل (پاکلي تاکسل 300م ويال,ARITAXEL® (PACLITAXEL 300 MG VIAL
کمو تاکسل (پاکلي تاکسل 300م ويال,CHEMOTAXEL® (PACLITAXEL 300 MG VIAL
اين تاکسل (پاکلي تاکسل 300م ويال,INTAXEL® (PACLITAXEL 300 MG VIAL
استراژن فارما (پاکلي تاکسل 300م ويال,PACLITAXEL <STRAGEN PHARMA> 300 MG VIAL
پاکلي تاکسل 150م ويال,PACLITAXEL 150 MG VIAL
ابه تاکسل (پاکلي تاکسل 150م ويال,EBETAXEL® (PACLITAXEL 150 MG VIAL
يوني تاکسل (پاکلي تاکسل 150م ويال,UNITAXEL® (PACLITAXEL 150 MG VIAL
جنوکسل (پاکلي تاکسل 150م ويال,GENEXOL® (PACLITAXEL 150 MG VIAL
پاکلي تاکسل(اکتاويز 150م ويال,PACLITAXEL ACTAVIS®  150 MG VIAL
استراژن فارما (پاکلي تاکسل 150م ويال,PACLITAXEL<STRAGEN PHARMA> 150 MG VIAL
ريتوکسي مب 100م ويال,RITUXIMAB 100 MG VIAL
مبترا (ريتوکسي مب 100م ويال,MABTHERA® (RITUXIMAB 100 MG VIAL
رديتوکس (ريتوکسي مب 100م ويال,REDITOX® (RITUXIMAB 100 MG VIAL
ريستوا (ريتوکسي مب 100م ويال,RISTOVA® (RITUXIMAB 100 MG VIAL
نوافن,KIKUZUMAB® (RITUXIMAB 100 MG VIAL
ريتوکسي مب 500م ويال,RITUXIMAB 500 MG VIAL
مبترا (ريتوکسي مب 500م ويال,MABTHERA® (RITUXIMAB 500 MG VIAL
رديتوکس (ريتوکسي مب 500م ويال,REDITOX® (RITUXIMAB 500 MG VIAL
ريستوا (ريتوکسي مب 500م ويال,RISTOVA® (RITUXIMAB 500 MG VIAL
اورياژ ايزودنس کرم,اورياژ ايزودنس کرم
پاکلي تاکسل 6م ويال,PACLITAXEL 6 MG VIAL
جنوکسل (پاکلي تاکسل 100م ويال,GENEXOL® (PACLITAXEL 100 MG VIAL
تاکسن (پاکلي تاکسل 100م ويال,TAKSEN® (PACLITAXEL 100 MG VIAL
پاکلي تاکسل 30م ويال,PACLITAXEL 30 MG VIAL
آنزاتاکس (پاکلي تاکسل 30م ويال,ANZATAX® (PACLITAXEL 30 MG VIAL
پاکلي تاکسل (اکتاويز 30م ويال,PACLITAXEL ACTAVIS® 30 MG VIAL
استراژن فارما (پاکلي تاکسل 300م ويال,PACLITAXEL<STRAGEN PHARMA> 300 MG VIAL
ابه تاکسل (پاکلي تاکسل 30م ويال,EBETAXEL® (PACLITAXEL 30 MG VIAL
جنوکسل (پاکلي تاکسل 30م ويال,GENEXOL® (PACLITAXEL 30 MG VIAL
يوني تاکسل (پاکلي تاکسل 30م ويال,UNITAXEL® (PACLITAXEL 30 MG VIAL
پاتاکسل (پاکلي تاکسل 30م ويال,PATAXEL® (PACLITAXEL 30 MG VIAL
اکسالي پلاتين 100م ويال,OXALIPLATINE 100 MG VIAL
الوگزاتين (اکسالي پلاتين 100م ويال,ELOXATIN® (OXALIPLATINE 100 MG VIAL
ريبوکساتين (اکسالي پلاتين 100م ويال,RIBOXATIN® (OXALIPLATINE 100 MG VIAL
الي پلاتين (اکسالي پلاتين 100م ويال,ELIPLATIN® (OXALIPLATINE 100 MG INJ
اکسالي پلاتين اوبه 100م ويال,OXALIPLATINE-EBEWE® 100 MG VIAL
استراژن فارما (اکسالي پلاتين 100م ويال,OXALIPLATINE-STRAGEN® 100 MG VIAL
اکسالي پلاتين اکتاويز 100م ويال,OXALIPLATINE-ACTAVIS® 100 MG VIAL
اکسالي پلاتين 100م ويال مايلن,OXALIPLATINE-MAYNE® 100 MG VIAL
اکسالي پلاتين 50م ويال,OXALIPLATINE 50 MG VIAL
الوگزاتين (اکسالي پلاتين 50م ويال,ELOXATIN® (OXALIPLATINE 50 MG VIAL
ريبوکساتين (اکسالي پلاتين 50م ويال,RIBOXATIN® (OXALIPLATINE 50 MG VIAL
الي پلاتين (اکسالي پلاتين 50م ويال,ELIPLATIN® (OXALIPLATINE 50 MG VIAL
اکتروتايد 20م آمپول,OCTREOTIDE  20 MG INJ
ساندوستاتين (اکتروتايد 20م آمپول,SANDOSTATIN LAR® (OCTREOTIDE  20 MG INJ
اکتروتايد 0.5م آمپول,OCTREOTIDE  0.5 MG AMP
اکترساندوستاتين (اکتروتايد 0.5م آمپول,OCTRESANDOSTATIN® (OCTREOTIDE  0.5 MG AMP
وين کريستين 1م آمپول,VINCRISTINE 1 MG INJEC
سل کريستين (وين کريستين 1م آمپول,CELLCRISTINE®(VINCRISTINE 1 MG INJEC
وين بلاستين سولفات 10م آمپول,VINBLASTINE  SULFATE 10 MG INJ
وينکو (وين بلاستين سولفات 10م آمپول,VINKO®(VINBLASTINE  SULFATE 10 MG INJ
والپروات سديم 100م آمپول,VALPROATE  SODIUM 100 MG INJ
کانوولکس (والپروات سديم 100م آمپول,CONVULEX®(VALPROATE  SODIUM 100 MG INJ
اوروفوليتروپين 75 واحدي آمپول,UROFOLLOTROPIN 75 IU AMP
کارما اف اس اچ (اوروفوليتروپين 75 واحدي آمپول,KARMA FSH® (UROFOLLOTROPIN 75IU
ديفرلين(تريپتورلين 0.1 م ويال,DIPHERELINE® (TRIPTORELIN 0.1 MG VIAL
واريو پپتيل (تريپتورلين 0.1 ويال,VARIOPEPTYL® (TRIPTORELIN 0.1 MG SYRING
تريپتورلين 0.1 م ويال,TRIPTORELIN 0.1 MG SYRING
تريپتورلين 11/25 م ويال,TRIPTORELIN 11.25 MG VIAL
تريپتورلين آ اس 3.75 م ويال,TRIPTORELIN  AS 3.75 MG INJ
کمورلين (تريپتورلين 3.75 م ويال,CHEMORELIN®(TRIPTORELIN  AS 3.75 MG INJ
تريپتورلين  3.75 م ويال,TRIPTORELIN 3.75 SYRING
واريو پپتيل (تريپتورلين  3.75 م ويال,VARIOPEPTYL®(TRIPTORELIN 3.75 SYRING
تراستوزوماب 150م ويال,TRASTUZOMAB 150 MG VIAL
هرسپتين (تراستوزوماب 150م ويال,HERCEPTIN (TRASTUZOMAB 150 MG VIAL
تراستوزوماب 440م ويال,TRASTUZOMAB 440 MG VIAL
هرسپتين (تراستوزوماب 440م ويال,HERCEPTIN®(TRASTUZOMAB 440 MG VIAL
هرکلون‌ (تراستوزوماب 440م ويال,HERCLON®(TRASTUZOMAB 440 MG VIAL
سديم فنيل بوتيرات 2 گرمي آمپول,SODIUM PHENYL BUTYRATE 2 GR AMP
آمبوتيرات (سديم فنيل بوتيرات 2 گرمي آمپول,AMBUTYRATE® (SODIUM PHENYL BUTYRATE 2 GR AMP
سديم گليسرو فسفات 20م آمپول,SODIUM  GLYCEROPHOSPHATE 20 ML INJ
گليکوفوس (سديم گليسرو فسفات 20م آمپول,GLYCOPHOS® (SODIUM GLYCEROPHOSPHATE 20 ML INJ
سديم بنزوات 2 گرمي آمپول,SODIUM BENZOATE 2 GR AMP
فورتئو ويال,فورتئو ويال
آمزوات (سديم بنزوات 2 گرمي آمپول,AMZOATE® (SODIUM BENZOATE 2 GR AMP
ميتوکسانترون 20م ويال,MITOXANTRONE HCL 20 MG VIAL
ابکسانترون (ميتوکسانترون 20م ويال,EBEXANTRON® (MITOXANTRONE HCL 20 MG VIAL
آتروونت آلماني کمپ HFA اسپري 20/50,ATROVENT COMP 20 MCG/50 MCG SPRAY
بکلومتازون دهاني250(کلنيل),CLENIL (BECLOMETHASONE 250 SPRAY
کي پي -تيوا کپسول استنشاقي بادستگا ه,کي پي -تيوا کپسول استنشاقي بادستگا ه
سالبوتامول محلول (ريسپيراتور,ASTHALIN (SALBUTAMOL RESPULES
اينتال دستگاه(اسمهالر,اينتال دستگاه(اسمهالر
دسموپرسين(مينيرين)اسپري,MINIRIN (DESMOPRESSIN NASAL SPRAY
پروستاسين قطره,PROATASIN DROP
بکلومتازون اسپري دهاني 50 ميکروگرم,BECLOMETHASONE DIPROPIONATE 50MCG/DOSE SPRAY
پالميکورت400 م اسپري,PULMICORT 400 MG INHALER SPRAY
آترونت هندي 20م 200 دوز اسپري,IPRAVENT 20 MCG SPRAY
کرومولين سديم بيني,CROMOLYN SODIUM 2% 13 ML NASAL SPRAY
ايپراترکس(ايپراتروپيوم) اسپري اينهالر ايراني 20 ميکروگرم,IPRATROPIUM BROMIDE 20MCG/DOSE SPRAY
فلوتيکازون اسپري دهاني ايراني 125 ميکروگرم,FLUTICASONE 125 M 120 DOSE SPRAY
بکلومتازون بيني اسپري آپو,APO-BECLOMETHASONE NASAL SPRAY
بکلومتازون دهاني 50 م (کلنيل,CLENIL (BECLOMETHASONE 50 MCG SPRAY
نيتروگليسرين اسپري(نيترومينت,NITROMINT (NITROGLYCERIN SPRAY
سديم کلرايد(دي بي سالين) اسپري بيني 0/65 درصد,DB SALINE NASAL SPRAY
گليترين انگليسي(نيتروگليسرين),GLYTRIN (NITROGLYCERIN SPRAY
مومتازون بيني نازونکس50اسپري(مومتازون),NASONEX  50MCG/120DOSE SPRAY
سينول اسپري بيني گياهي,سينول اسپري بيني گياهي
فلوميست (فلوتيکازون 50م 120 دوز اسپري بيني,FLOMIST(FLUTICASONE 50 M 120 D NAS SPRAY
دسموپرسين اسپري(نوکتيسين),NOCTISSIN (DESMOPRESSIN NASAL SPRAY
فليکسوتايد اسپري استنشاقي 250 ميکروگرم,FLIXOTIDE EVOHALER(FLUTICASONE 250 MCG SPRAY
فليکسوتايد(فلوتيکازون اووهالر 50م 60دوز اسپري,FLIXOTIDE EVOHALER(FLUTICASONE 50 MCG SPRAY
سالمترول اسپري دهاني 25 ميکروگرم,SALMETROL 25 MCG 200 DOSE SPRAY IRANI
کلسيتونين اسپري100 ايراني,CALCITONIN 100 IU/DOS NASAL IRANI
کلسيتونين اسپري 200 ايراني (نازوکلسين,CALCITONIN 200 IU/DOS NASAL IRANI
فلوهيل (فلوتيکازون125م 120 دوز اسپري,FLOHALE(FLUTICASONE 125M 120 DOSE INHALER
باريج سي ام اسپري (باريج اسانس,سي ام اسپري (باريج اسانس
راينوکورت اسپري نازال (بودزونايد),RHINOCORT (BUDESINIDE  64MCG  NASAL SPRAY
سرونت (سالمترول 25م ک گ 200 دوز اسپري ايراني,SERAVENT (SALMETROL XINAFOATE 25MCG/DOSE 200D
آتروين اسپري,آتروين اسپري
کامبيونت (آلبوترول و ايپراتروپيوم برومايد آلماني  اسپري,COMBIVENT (IPRATROPIUM S 10ML INHALER SPRAY
سينومارين بزرگسال,SINOMARIN ADULT
سينومارين اطفال,SINOMARIN CHILD
سينومارين نوزادي,SINOMARIN INFANT
نازفلو(فلوتيکازون 50م 120 دوز اسپري بيني,NASOFLO(FLUTICASONE 50M 120 DO NAS SPR
تيوتروپيوم(اسپيريوا) کپسول استنشاقي 18 ميکروگرم,SPIRIVA® (TIOTROPIUM 0.018 MG  CAP INHAL
فليکسوتايد اسپري استنشاقي 50 ميکروگرم,FLIXONASE(FLUTICASONE 50 M 120 DOS NA SPR
بکلومتازون50 دهاني(هندي),BECLOMETHASONE  50 INHA INDIA
کلسيتونين(مياکلسيک اسپري 200 خارجي,MIACALCIC (CALCITONIN 200 IU/DOS NA
سروتايد اسپري اينهالر 250 ميکروگرم,SERETIDE (SALMETROL+FLUTICASON 250
سروتايد 125/25ميلي اسپري,SERETIDE (SALMETROL+FLUTICASON 125
سروتايد اسپري اينهالر 50 ميکروگرم,SALMETROL+FLUTICASONE 50/25MIC EVOHALER
کلسيتونين 100م (نيلکس اسپري,"CALCITONIN,SALMON 100 IU/DOS NASAL SPRAY"
بکلومتازون(بکليت) اسپري بيني,BECLATE (BECLOMETHASONE DIPROPIONAT
اوکسيس اسپري,اوکسيس اسپري
سروفلو اسپري اينهالر 125 ميکروگرم,SEROFLO 125 HFA INHALER
سروفلو اسپري اينهالر 250 ميکروگرم,SEROFLO 250 HFA INHALER
لاميزيل(تربينافين)اسپري,LAMISIL (TERBINAFINE SPRAY
کلسيتونين آپو200م اسپري,APO-CALCITONIN 200 IU/DOS NASAL
بکلومتازون اسپري بيني 0/05 درصد,BECLOMETHASONE NASAL SPRAY IRANI
سالبوتامول(ونتالکس) اسپري دهاني,VENTALEX(SALBUTAMOL SPRAY
بکلومتازون 50م بيني اسپري آکوا,BECLOMETHASONE  50 MG NASAL
سيمبي کرت 9 ميکرو 320 اسپري,SYMBICORT (BUDESONIDE/FORMOTEROL 320/9MCG INHALER
سيمبي کرت 4.5 ميکرو 160 اسپري,SYMBICORT (BUDESONIDE/FORMOTEROL 160/4.5MCG INHALER
سيمبي کرت80م اسپري,SYMBICORT (BUDESONIDE/FORMOTEROL 80/4.5MCG INHALER
سينکس اسپري,سينکس اسپري
سالمترول 25م ک گ 200 دوز آلماني,SALMETROL SPRAY GERMANY
اوکسي متازون ايراني,OXYMETAZOLINE 0.05% 15ML  NASAL SPR
نيتروگليسيرين انگليسي (گلاترين اسپري,GLYTRIN (NITROGLYCERIN SPRAY ENGLAN
دکونژستانت اسپري,دکونژستانت اسپري
ليدوکائين 10% 50م  اسپري,LIDOCAINE 10% 50 ML SPRAY
بتادين محلول 60 ميلي(پوويدون آيداين 10%),POVIDONE IODINE 2.5%   -SPRAY
سيمپلکس رومانتيک ژل گل رز,سيمپلکس رومانتيک ژل گل رز
آزلاستين هيدروکلرايد اسپري بيني,ALLERGODIL (AZELASTINE NASAL SPRAY
فليکسوتايد اسپري استنشاقي 125 ميکروگرم,FLIXOTIDE (FLUTICASONE 125 M 120 DOSE
فلوتيکازون 125م 60دوز اسپري ايراني,FLUTICASONE 125 M 60 DOSE
سوختگي اسپري,سوختگي اسپري
فلوهيل (فلوتيکازون 250م 120 دوز اسپري,FLOHALE(FLUTICASONE 250 MCG INHALER
پلي تايم ايفنيتي,پلي تايم ايفنيتي
پلي تايم ايزي,پلي تايم ايزي
پلي تايم فاير,پلي تايم فاير
پلي تايم دريمر,پلي تايم دريمر
پلي تايم ايس من,پلي تايم ايس من
پلي تايم ويرجين,پلي تايم ويرجين
سيمپلکس تراول,سيمپلکس تراول
کونتکس انار,کونتکس انار
نوروژيک منتوله 50م ايراني اسپري,نوروژيک منتوله 50م ايراني اسپري
زردبند آويشن اسپري (ضد آفت,ZARDBAND THYME ORAL DROP
کونتکس لانگ لاو,کونتکس لانگ لاو
کونتکس سبز,کونتکس سبز
وياگرا اسپري,VIAGRA SPRAY
ايموشن ارکترا وکونفي دنس مشکي,EMOTION CONFIDENCE GEL
ايموشن ژل لوبريکانت رومانس زرد,EMOTION ROMANCE GEL
کلنيل کمپوزيتوم (بکلومتازون+سالبوتامول,CLENIL COMPOSITUM   50 100 MCG INHAL
نفازولين اسپري بيني 0/05 درصد,NAPHAZOLINE 0.05% NASAL SPRAY
ليدوکائين 10% اسپري 100م,LIDOCAINE 10% 100ML SPRAY
ديپ سي (سينومارين )اسپري بيني,ديپ سي (سينومارين )اسپري بيني
سروفلو اسپري اينهالر 50 ميکروگرم,SEROFLO 50 HFA INHALER
سروفلو اسپري اينهالر 50 ميکروگرم,SALMEFLO 50 MCG INHALER
سالمفلو125/25اسپري,SALMEFLO 125 MCG INHALER
سديم کلرايد(دکوسالين) اسپري بيني 0/65 درصد,SODIUM CHLORIDE 0.65% 20ML NASAL SP
فنيل افرين اسپري بيني 0/5 درصد,PHENYLEPHRINE 0.5%   NASAL SPRAY
اکسي متازولين  دنياي بهداشت اسپري,اکسي متازولين  دنياي بهداشت اسپري
ساووي اسپري زخم,ساووي اسپري زخم
ساووي اسپري سوختگي,ساووي اسپري سوختگي
زردبند رزماري اسپري,ZARDBAND ROSEMARY SPRAY
دسموپرسين ايراني اسپري بيني (دزمکس,DESOMAX (DESMOPRESSIN NASAL SPRAY
بودزونايد اسپري بيني 64 ميکروگرم,BUDESONIDE  64 MG NASAL SPRAY
بودنا (بودزونايد 64م ک اسپري بيني,BUDENA (BUDESONIDE 64 MCG SPRAY
فلي هالر (فلوتيکازون 250م 120 دوز اسپري,FLIHALER (FLUTICASONE 250 MCG SPRAY
تيوتروپيوم (کي پي تيوا) کپسول استنشاقي,TIOTROPIUM 0.018 MG  CAP INHAL
فورموترول ژنريس فورمترول کپسول استنشاقي60عددي,FORMOTEROL SOL FOR INH
فوتوتيزوکس (فورمترول اسپري,FOMOTIZOX® (FORMOTEROL SOL FOR INH
فلوتيزوکس (فلوتيکازون250م 120 دوز اسپري,FLIXOTIDE(FLUTICASONE 250M 120DOS SPRAY
فلوتيکازون250م 120 دوز ايراني اسپري,FLUTICASONE 250 M 120 DOSE SPRAY
فلوتيکازون 250 ( فلوهال) هندي,FLIXOTIDE(FLUTICASONE 250 M 60 DOSE SPRAY
فليکسوتايد (فلوتيکازون 50م 120 دوز اسپري بيني,FLIXOTIDE(FLUTICASON 50M 120DOS NASAL SPRAY
فلوتيکازون اسپري دهاني ايراني 50 ميکروگرم,FLUTICASONE 50 MCG 120 DOSE SPR
فلوتيکازون 50م 200 دوز اسپري بيني ايراني,FLUTICASON 50M 200DOS NASAL SPRAY
سالمترول 25 م ک گ 120 دوز اسپري,SALMETROL 25 MCG 120 DOSE SPRAY
سالمترول 25 م ک گ 60 دوز اسپري,SALMETROL 25 MCG 60 DOSE SPRAY
سالمترول 50 م ک گ اسپري,SALMETROL 50 MCG SPRAY
سروتايد ديسک 250 ميکروگرم,SERETIDE DISC (SALMETROL+FLUTICASON 250
بيعانه 1000,بيعانه 1000
اسپري بيني اکتوين 2% ضد آبريزش,اسپري بيني اکتوين 2% ضد آبريزش
تينور زانو بند کشي,تينور زانو بند کشي
آدامس تريدنت با طعم نعناع,آدامس تريدنت با طعم نعناع
آدامس تريدنت با طعم توت فرنگي,آدامس تريدنت با طعم توت فرنگي
آدامس تريدنت با طعم هندوانه,آدامس تريدنت با طعم هندوانه
فيس دوکس پيگمازوم کرم روشن کننده بدن,فيس دوکس پيگمازوم کرم روشن کننده بدن
فليکسوتايد 250 ديسکي (فلوتيکارزون)60 دوز,فليکسوتايد 250 ديسکي (فلوتيکارزون)60 دوز
آسمانکس توئيست هالر 200 م-مومتازون,آسمانکس توئيست هالر 200 م-مومتازون
آسمانکس توئيست هالر 400 م(مومتازون),آسمانکس توئيست هالر 400 م(مومتازون)
فلاموزيل اسپري 75 م(بهبود زخم),فلاموزيل اسپري 75 م(بهبود زخم)
فليکسوتايد (فلوتيکازون اووهالر 125م 60دوز,FLIXOTIDE (FLUTICASONE 125 M 60 DOSE
کرومولين دهاني اسپري,CROMOLYN SODIUM 1 MG/DOSE AEROSOL
روغن کنجد نوزالين اسپري بيني,NOSALINE NASAL SPRAY
ونتولين اسپري (سالبوتامول,SALBUTAMOL SPRAY
ايمگرن 20م اسپري يکبارمصرف,ايمگرن 20م اسپري يکبارمصرف
بکلکس (بکلومتازون 10م دهاني  اسپري,BECLEX (BECLOMETHASONE DIP 10MG INH
پالميکورت 200م اسپري,PULMICORT 200 MG INHALER SPRAY
اکسي متازولين اسپري بيني,OXYMETAZOLINE 0.05% 15 ML  NASAL SPR
فلوتيکازون اسپري دهاني ايراني 250 ميکروگرم,FLUTICASONE 250 M 60 DOSE SPRAY
سروفلو اسپري اينهالر 250 ميکروگرم,SALMETROL+FLUTICASON 25/250 seroflo
